date,batu pahat,johor bahru,kluang,kulai,mersing,muar,pontian,segamat,kota tinggi,tangkak
2/10/2020,0,18,0,3,0,0,0,0,0,0
3/10/2020,0,20,0,4,0,1,0,0,0,0
4/10/2020,0,28,0,4,0,1,0,0,0,0
5/10/2020,0,30,0,4,0,1,0,0,0,0
6/10/2020,1,34,0,4,0,2,0,0,0,0
7/10/2020,1,39,0,5,0,2,0,0,0,0
8/10/2020,1,43,0,6,0,2,0,0,0,0
9/10/2020,1,41,0,6,0,2,0,0,1,0
10/10/2020,3,41,0,4,0,2,0,0,1,0
11/10/2020,3,41,1,4,0,2,0,1,1,0
12/10/2020,3,39,1,4,0,2,0,1,1,0
13/10/2020,6,38,1,4,0,2,0,1,1,0
14/10/2020,8,33,1,4,0,2,0,1,1,0
15/10/2020,7,28,1,4,0,1,0,1,1,0
16/10/2020,7,29,1,4,0,1,0,1,1,0
17/10/2020,9,28,2,4,0,1,2,1,1,0
18/10/2020,9,29,2,4,0,1,2,0,1,0
19/10/2020,8,20,2,4,0,0,2,0,1,0
20/10/2020,8,19,2,4,0,1,2,0,1,0
21/10/2020,8,19,2,2,0,1,2,0,1,0
22/10/2020,3,17,2,2,0,1,0,0,0,0
23/10/2020,3,14,0,0,0,0,0,0,0,0
24/10/2020,2,19,0,1,0,0,0,0,0,0
25/10/2020,6,27,2,8,0,1,1,0,0,0
26/10/2020,2,28,0,6,0,0,1,0,0,1
27/10/2020,6,33,2,6,0,1,1,0,0,1
28/10/2020,6,36,2,6,0,3,2,0,1,1
29/10/2020,5,46,1,6,0,3,2,0,1,1
30/10/2020,5,48,4,6,0,2,2,0,1,2
31/10/2020,5,48,4,6,0,2,2,0,1,2
1/11/2020,5,49,4,6,0,2,2,0,1,2
2/11/2020,5,55,4,6,0,2,2,0,1,2
3/11/2020,2,47,4,6,0,2,1,0,1,2
4/11/2020,2,46,4,6,0,2,1,0,1,3
