date,total_tests,total_infected,total_recovered,deaths,active_cases,respiratory_aid,icu
2020-06-02,567287.0,7877,6470,115,1292,2,6
2020-06-03,575505.0,7970,6531,115,1324,2,6
2020-06-04,582486.0,8247,6559,115,1573,2,6
2020-06-05,590613.0,8266,6610,116,1540,1,6
2020-06-06,599454.0,8303,6635,117,1551,0,6
2020-06-07,,8322,6674,117,1531,0,5
2020-06-08,614239.0,8329,6694,117,1518,1,6
2020-06-09,620320.0,8336,6975,117,1244,1,6
2020-06-10,625775.0,8338,7014,118,1206,0,5
2020-06-11,631608.0,8369,7065,118,1186,0,5
2020-06-12,640680.0,8402,7168,119,1115,0,4
2020-06-13,646055.0,8445,7311,120,1014,0,4
2020-06-14,651344.0,8453,7346,121,986,0,4
2020-06-15,656210.0,8494,7400,121,973,0,4
2020-06-16,659632.0,8505,7733,121,651,0,4
2020-06-17,664334.0,8515,7873,121,521,0,4
2020-06-18,669589.0,8529,8000,121,408,0,4
2020-06-19,674551.0,8535,8070,121,344,0,3
2020-06-20,679826.0,8556,8146,121,289,0,3
2020-06-21,683968.0,8572,8156,121,295,0,3
2020-06-22,686905.0,8587,8177,121,289,0,2
2020-06-23,693603.0,8590,8186,121,283,0,3
2020-06-24,704336.0,8596,8231,121,244,0,2
2020-06-25,716178.0,8600,8271,121,208,0,2
2020-06-26,729116.0,8606,8294,121,191,0,2
2020-06-27,739458.0,8616,8308,121,187,0,2
2020-06-28,749950.0,8634,8318,121,195,0,2
2020-06-29,756171.0,8637,8334,121,182,1,4
2020-06-30,764999.0,8639,8354,121,164,1,4
2020-07-01,773911.0,8640,8375,121,144,2,4
2020-07-02,782638.0,8643,8437,121,85,2,2
2020-07-03,790859.0,8648,8446,121,81,2,2
2020-07-04,797796.0,8658,8461,121,76,2,2
2020-07-05,804518.0,8663,8465,121,77,2,2
2020-07-06,810057.0,8668,8476,121,71,2,2
2020-07-07,816118.0,8674,8481,121,72,2,2
2020-07-08,822646.0,8677,8486,121,70,1,2
2020-07-09,829988.0,8683,8499,121,63,1,2
2020-07-10,836255.0,8696,8511,121,64,2,2
2020-07-11,842476.0,8704,8515,122,67,2,3
2020-07-12,847510.0,8718,8519,122,77,2,3
2020-07-13,850423.0,8725,8520,122,83,3,4
2020-07-14,855119.0,8729,8524,122,83,2,6
2020-07-15,861896.0,8734,8526,122,86,1,5
2020-07-16,868394.0,8737,8538,122,77,1,3
2020-07-17,876222.0,8755,8541,122,92,0,3
2020-07-18,884170.0,8764,8546,122,96,0,1
2020-07-19,889744.0,8779,8553,123,103,1,2
2020-07-20,895758.0,8800,8555,123,122,1,3
2020-07-21,902439.0,8815,8562,123,130,1,4
2020-07-22,909627.0,8831,8566,123,142,1,5
2020-07-23,916340.0,8840,8574,123,143,2,5
2020-07-24,925188.0,8861,8577,123,161,2,5
2020-07-25,932397.0,8884,8594,123,167,2,3
2020-07-26,937645.0,8897,8600,124,173,1,2
2020-07-27,943244.0,8904,8601,124,179,0,0
2020-07-28,949141.0,8943,8607,124,212,1,1
2020-07-29,955133.0,8956,8612,124,220,1,2
2020-07-30,963079.0,8964,8617,124,223,1,3
2020-07-31,970644.0,8976,8644,125,207,1,3
2020-08-01,974674.0,8985,8647,125,213,1,2
2020-08-02,979178.0,8999,8664,125,210,1,2
2020-08-03,983297.0,9001,8668,125,208,0,1
2020-08-04,991333.0,9002,8684,125,193,0,0
2020-08-05,1001090.0,9023,8702,125,196,0,2
2020-08-06,1012660.0,9038,8713,125,200,1,2
2020-08-07,1024719.0,9063,8728,125,210,1,2
2020-08-08,1036339.0,9070,8775,125,170,1,2
2020-08-09,1045976.0,9083,8784,125,174,0,1
2020-08-10,1053531.0,9094,8803,125,166,0,1
2020-08-11,1063304.0,9103,8809,125,169,0,2
2020-08-12,1074020.0,9114,8817,125,172,0,1
2020-08-13,1085040.0,9129,8821,125,183,0,2
2020-08-14,1095768.0,9149,8828,125,196,1,4
2020-08-15,1106217.0,9175,8831,125,219,1,6
2020-08-16,1114246.0,9200,8859,125,216,2,7
2020-08-17,1120666.0,9212,8876,125,211,2,8
2020-08-18,1129091.0,9219,8902,125,192,2,8
2020-08-19,1141679.0,9235,8925,125,185,3,7
2020-08-20,1152140.0,9240,8932,125,183,4,7
2020-08-21,1160390.0,9249,8945,125,179,4,7
2020-08-22,1167949.0,9257,8949,125,183,4,8
2020-08-23,1176416.0,9267,8959,125,183,4,9
2020-08-24,1182845.0,9274,8965,125,184,5,8
2020-08-25,1191500.0,9285,8971,125,189,6,8
2020-08-26,1202764.0,9291,8978,125,188,6,9
2020-08-27,1212790.0,9296,8994,125,177,6,8
2020-08-28,1222854.0,9306,9030,125,151,6,8
2020-08-29,1232927.0,9317,9038,125,154,6,8
2020-08-30,1243540.0,9334,9048,126,160,5,7
2020-08-31,1253855.0,9340,9054,127,159,4,6
2020-09-01,1262848.0,9354,9075,128,151,3,5
2020-09-02,1270229.0,9360,9079,128,153,3,4
2020-09-03,1280878.0,9374,9083,128,163,3,4
2020-09-04,1290602.0,9385,9092,128,165,3,4
2020-09-05,1299724.0,9391,9113,128,150,3,5
2020-09-06,1307454.0,9397,9115,128,154,3,6
2020-09-07,1313774.0,9459,9124,128,207,4,6
2020-09-08,1322445.0,9559,9136,128,295,4,7
2020-09-09,1332917.0,9583,9143,128,312,4,7
